iter	Passed	Remaining
0	19	19427
1	37	18566
2	54	18099
3	72	18067
4	90	17975
5	111	18409
6	129	18310
7	145	18079
8	167	18450
9	186	18442
10	206	18528
11	223	18426
12	244	18601
13	263	18527
14	282	18524
15	300	18455
16	321	18585
17	345	18875
18	370	19123
19	396	19406
20	420	19611
21	450	20012
22	467	19855
23	484	19711
24	503	19628
25	525	19673
26	543	19590
27	561	19497
28	580	19425
29	599	19377
30	629	19667
31	665	20124
32	691	20275
33	713	20278
34	735	20270
35	756	20257
36	773	20134
37	790	20006
38	807	19888
39	823	19773
40	842	19716
41	861	19660
42	879	19564
43	895	19463
44	912	19367
45	930	19306
46	955	19372
47	979	19418
48	1003	19473
49	1021	19409
50	1038	19331
51	1061	19347
52	1078	19272
53	1095	19199
54	1113	19126
55	1130	19058
56	1147	18984
57	1164	18906
58	1188	18950
59	1205	18891
60	1222	18821
61	1240	18760
62	1258	18717
63	1279	18711
64	1295	18636
65	1311	18559
66	1327	18491
67	1344	18427
68	1360	18356
69	1377	18300
70	1395	18258
71	1415	18243
72	1431	18176
73	1447	18113
74	1462	18035
75	1479	17984
76	1500	17985
77	1517	17932
78	1533	17883
79	1550	17836
80	1567	17787
81	1584	17739
82	1601	17698
83	1618	17648
84	1635	17602
85	1651	17552
86	1668	17506
87	1686	17482
88	1706	17471
89	1723	17426
90	1739	17380
91	1756	17339
92	1773	17295
93	1789	17250
94	1807	17222
95	1825	17187
96	1841	17141
97	1857	17100
98	1874	17061
99	1891	17021
100	1907	16978
101	1931	17000
102	1947	16963
103	1965	16930
104	1981	16892
105	1997	16849
106	2015	16823
107	2033	16794
108	2050	16759
109	2066	16721
110	2083	16689
111	2102	16667
112	2120	16647
113	2137	16611
114	2153	16572
115	2170	16540
116	2186	16504
117	2203	16471
118	2221	16446
119	2244	16458
120	2261	16427
121	2278	16396
122	2296	16370
123	2313	16342
124	2331	16318
125	2347	16282
126	2363	16244
127	2379	16213
128	2395	16176
129	2412	16146
130	2430	16125
131	2447	16096
132	2463	16061
133	2481	16035
134	2498	16008
135	2514	15972
136	2531	15943
137	2551	15939
138	2567	15904
139	2583	15870
140	2600	15840
141	2614	15799
142	2632	15775
143	2650	15757
144	2667	15728
145	2684	15700
146	2701	15675
147	2719	15654
148	2737	15637
149	2756	15619
150	2772	15586
151	2788	15555
152	2804	15527
153	2821	15501
154	2839	15480
155	2856	15455
156	2872	15422
157	2888	15391
158	2904	15363
159	2921	15337
160	2939	15318
161	2956	15293
162	2975	15280
163	2992	15252
164	3009	15227
165	3025	15200
166	3042	15174
167	3062	15164
168	3077	15132
169	3093	15104
170	3110	15080
171	3127	15057
172	3145	15036
173	3166	15031
174	3182	15005
175	3199	14981
176	3216	14955
177	3232	14928
178	3250	14908
179	3269	14893
180	3285	14866
181	3302	14842
182	3318	14814
183	3335	14791
184	3354	14776
185	3372	14760
186	3394	14758
187	3410	14730
188	3427	14706
189	3444	14685
190	3462	14667
191	3479	14641
192	3495	14615
193	3514	14599
194	3529	14572
195	3546	14546
196	3564	14530
197	3581	14507
198	3597	14479
199	3613	14455
200	3629	14427
201	3646	14405
202	3664	14388
203	3681	14364
204	3698	14341
205	3714	14318
206	3731	14293
207	3747	14269
208	3764	14249
209	3791	14263
210	3807	14238
211	3825	14218
212	3841	14193
213	3858	14172
214	3877	14156
215	3893	14133
216	3911	14113
217	3929	14095
218	3945	14072
219	3963	14051
220	3979	14027
221	3999	14017
222	4018	14000
223	4035	13980
224	4053	13960
225	4069	13936
226	4086	13915
227	4104	13897
228	4121	13876
229	4138	13854
230	4155	13832
231	4171	13809
232	4190	13793
233	4211	13786
234	4227	13760
235	4244	13739
236	4260	13717
237	4276	13692
238	4298	13688
239	4321	13684
240	4339	13665
241	4356	13644
242	4373	13624
243	4390	13604
244	4426	13641
245	4469	13698
246	4512	13757
247	4555	13812
248	4584	13827
249	4617	13851
250	4651	13880
251	4682	13898
252	4714	13919
253	4755	13965
254	4771	13939
255	4789	13919
256	4806	13896
257	4829	13890
258	4847	13868
259	4865	13847
260	4881	13821
261	4898	13799
262	4916	13777
263	4936	13762
264	4954	13741
265	4972	13719
266	4989	13698
267	5007	13676
268	5025	13655
269	5044	13638
270	5064	13624
271	5082	13602
272	5099	13578
273	5115	13554
274	5132	13531
275	5153	13518
276	5169	13493
277	5186	13469
278	5203	13448
279	5219	13421
280	5235	13396
281	5254	13379
282	5273	13359
283	5287	13330
284	5307	13314
285	5324	13292
286	5345	13278
287	5363	13258
288	5379	13234
289	5397	13213
290	5413	13188
291	5428	13162
292	5445	13139
293	5467	13129
294	5484	13106
295	5500	13082
296	5516	13058
297	5532	13032
298	5548	13008
299	5565	12985
300	5583	12966
301	5604	12953
302	5622	12933
303	5639	12911
304	5656	12889
305	5674	12868
306	5692	12850
307	5710	12829
308	5725	12804
309	5741	12779
310	5757	12755
311	5774	12733
312	5792	12714
313	5808	12690
314	5824	12666
315	5840	12642
316	5862	12631
317	5880	12612
318	5901	12599
319	5919	12578
320	5936	12556
321	5953	12536
322	5970	12514
323	5988	12494
324	6006	12474
325	6023	12453
326	6039	12430
327	6056	12408
328	6072	12384
329	6088	12360
330	6105	12340
331	6124	12322
332	6140	12300
333	6157	12277
334	6173	12254
335	6189	12232
336	6210	12218
337	6228	12198
338	6244	12176
339	6261	12155
340	6281	12140
341	6301	12123
342	6318	12103
343	6335	12081
344	6351	12059
345	6371	12043
346	6388	12022
347	6407	12004
348	6422	11980
349	6439	11958
350	6457	11939
351	6473	11917
352	6490	11896
353	6507	11874
354	6525	11855
355	6542	11834
356	6557	11811
357	6573	11787
358	6592	11770
359	6609	11750
360	6628	11732
361	6647	11715
362	6664	11695
363	6680	11672
364	6696	11649
365	6717	11636
366	6735	11616
367	6750	11593
368	6768	11573
369	6784	11551
370	6800	11530
371	6818	11510
372	6838	11495
373	6855	11475
374	6874	11457
375	6895	11443
376	6911	11420
377	6930	11403
378	6946	11382
379	6965	11364
380	6981	11343
381	6998	11321
382	7014	11300
383	7030	11277
384	7048	11259
385	7065	11238
386	7082	11217
387	7097	11195
388	7114	11174
389	7135	11160
390	7154	11143
391	7173	11125
392	7191	11106
393	7207	11085
394	7230	11075
395	7260	11074
396	7280	11058
397	7298	11039
398	7315	11018
399	7342	11013
400	7360	10994
401	7377	10974
402	7393	10952
403	7414	10937
404	7431	10917
405	7448	10897
406	7468	10882
407	7486	10863
408	7504	10843
409	7521	10823
410	7542	10808
411	7560	10789
412	7576	10768
413	7593	10748
414	7610	10728
415	7628	10709
416	7653	10700
417	7723	10753
418	7756	10755
419	7785	10750
420	7805	10735
421	7822	10713
422	7838	10692
423	7855	10672
424	7875	10655
425	7891	10633
426	7907	10611
427	7923	10589
428	7944	10574
429	7962	10555
430	7981	10537
431	8000	10518
432	8016	10497
433	8033	10476
434	8050	10456
435	8067	10435
436	8087	10418
437	8104	10398
438	8120	10377
439	8137	10356
440	8154	10336
441	8169	10313
442	8190	10297
443	8206	10276
444	8226	10260
445	8244	10240
446	8261	10220
447	8278	10199
448	8296	10181
449	8314	10162
450	8332	10142
451	8348	10121
452	8366	10102
453	8383	10082
454	8400	10062
455	8419	10044
456	8436	10024
457	8458	10009
458	8474	9988
459	8491	9968
460	8508	9948
461	8525	9928
462	8542	9907
463	8561	9889
464	8579	9870
465	8595	9849
466	8612	9829
467	8630	9811
468	8647	9790
469	8666	9772
470	8688	9758
471	8709	9743
472	8739	9736
473	8761	9722
474	8782	9707
475	8801	9688
476	8822	9673
477	8839	9653
478	8858	9635
479	8875	9614
480	8891	9594
481	8908	9574
482	8925	9553
483	8943	9534
484	8960	9514
485	8980	9497
486	8998	9478
487	9015	9458
488	9032	9438
489	9051	9421
490	9068	9401
491	9085	9380
492	9104	9363
493	9120	9342
494	9138	9323
495	9156	9304
496	9173	9284
497	9189	9263
498	9205	9242
499	9222	9222
500	9239	9202
501	9257	9183
502	9279	9169
503	9296	9149
504	9313	9129
505	9330	9109
506	9345	9087
507	9361	9067
508	9379	9047
509	9395	9027
510	9411	9006
511	9428	8986
512	9443	8965
513	9459	8944
514	9525	8970
515	9570	8976
516	9619	8986
517	9659	8988
518	9678	8969
519	9699	8953
520	9716	8933
521	9732	8912
522	9749	8891
523	9766	8872
524	9782	8851
525	9802	8833
526	9819	8813
527	9837	8793
528	9853	8773
529	9869	8752
530	9885	8731
531	9904	8713
532	9920	8692
533	9937	8671
534	9953	8651
535	9969	8630
536	9986	8610
537	10003	8589
538	10021	8571
539	10037	8550
540	10054	8530
541	10070	8510
